user_id,rel_user_id,weight,distance
8.0,4227.0,0.01,0.020857
8.0,53.0,0.114035087719,0.11439200000000002
8.0,268.0,0.028,6.105810999999999
8.0,457.0,0.169741697417,0.054696
8.0,470.0,0.01,0.010348
8.0,99.0,0.0357894736842,0.010348
8.0,4223.0,0.12676056338,0.020857
8.0,53.0,0.114035087719,0.11439200000000002
8.0,99.0,0.0357894736842,0.010348
8.0,268.0,0.028,6.105810999999999
8.0,457.0,0.169741697417,0.054696
8.0,470.0,0.01,0.010348
8.0,4223.0,0.12676056338,0.020857
8.0,4227.0,0.01,0.020857
4227.0,8.0,0.04,0.020857
4227.0,96.0,0.08,0.005379
4227.0,276.0,0.20253164557,0.050232
4227.0,355.0,0.0290909090909,0.045288999999999996
4227.0,4223.0,0.0281690140845,0
4227.0,4224.0,0.030303030303,0.005379
4227.0,8.0,0.04,0.020857
4227.0,5287.0,0.0201342281879,0.069826
4227.0,5558.0,0.146341463415,0.5457300000000002
4227.0,32993.0,0.06,5.650796999999998
4227.0,96.0,0.04,0.005379
4227.0,355.0,0.08,0.045288999999999996
4227.0,5799.0,0.0290909090909,4.987256999999999
4227.0,276.0,0.231707317073,0.050232
4227.0,4224.0,0.20253164557,0.005379
4227.0,4223.0,0.030303030303,0
4227.0,5287.0,0.0281690140845,0.069826
4227.0,5558.0,0.0201342281879,0.5457300000000002
4227.0,5799.0,0.146341463415,4.987256999999999
4227.0,32993.0,0.231707317073,5.650796999999998
53.0,8.0,0.52,0.11439200000000001
53.0,8.0,0.52,0.11439200000000001
53.0,84.0,0.186666666667,0.41491900000000004
53.0,99.0,0.0494736842105,0.10404400000000001
53.0,201.0,0.08,0.10404400000000001
53.0,742.0,0.01,6.2454659999999995
53.0,1280.0,0.02,1.4415529999999999
53.0,268.0,0.0622857142857,6.073218999999999
53.0,376.0,0.0856164383562,0.07646800000000001
53.0,457.0,0.206642066421,0.09324000000000002
53.0,6108.0,0.125,1.3202650000000005
53.0,84.0,0.186666666667,0.41491900000000004
53.0,99.0,0.0494736842105,0.10404400000000001
53.0,201.0,0.08,0.10404400000000001
53.0,268.0,0.0622857142857,6.073218999999999
53.0,376.0,0.0856164383562,0.07646800000000001
53.0,457.0,0.206642066421,0.09324000000000002
53.0,742.0,0.01,6.2454659999999995
53.0,1280.0,0.02,1.4415529999999999
53.0,6108.0,0.125,1.3202650000000005
268.0,8.0,0.653333333333,6.105810999999993
268.0,53.0,0.318713450292,6.073218999999993
268.0,63.0,0.167883211679,6.076452999999994
268.0,82.0,0.116071428571,5.986228999999994
268.0,99.0,0.114736842105,6.095462999999993
