user_id,lat_pos,lon_pos
2.0,-118.341607,34.059847
4.0,-122.414839,37.780893
8.0,-122.40568,37.801563
14.0,-122.13981,37.436164
18.0,-117.242214,33.139966
21.0,-117.886219,33.731597
24.0,-122.015281,37.330928
25.0,-122.288131,37.783676
26.0,-122.014884,37.222546
34.0,-122.401053,37.764407
39.0,-122.393524,37.744314
43.0,-118.43358,34.05282
53.0,-122.435819,37.711452
62.0,-122.408803,37.755092
63.0,-122.404159,37.777636
70.0,-122.162447,37.4469
73.0,-122.184756,37.436384
76.0,-122.113495,37.415601
78.0,-122.383943,37.700929
81.0,-122.407273,37.760436
82.0,-122.360574,37.673738
84.0,-122.217524,37.440778
85.0,-122.117336,37.377155
86.0,-122.382204,37.743536
87.0,-121.983696,37.297961
92.0,-122.392528,37.834643
93.0,-122.398276,37.785447
96.0,-122.416664,37.761966
99.0,-122.406828,37.786288
101.0,-121.989188,37.132019
104.0,-122.359929,37.805048
106.0,-122.394419,37.778454
108.0,-122.163893,37.446005
123.0,-122.132564,37.458039
124.0,-122.163037,37.425719
126.0,-118.401674,34.046011
128.0,-122.169837,37.440766
129.0,-122.411633,37.750494
130.0,-122.416111,37.764254
133.0,-122.416262,37.784343
135.0,-122.413732,37.765197
157.0,-122.414622,37.824533
158.0,-122.081816,37.393549
159.0,-122.401942,37.780952
161.0,-122.395264,37.77538
169.0,-117.82328,33.660956
170.0,-117.863481,33.687164
176.0,-122.401979,37.774173
177.0,-122.400245,37.776102
179.0,-122.39169,37.759869
182.0,-122.420543,37.780165
191.0,-122.389692,37.710784
197.0,-122.366934,37.800933
200.0,-122.342715,37.822719
201.0,-122.405388,37.776865
217.0,-122.413083,37.762612
221.0,-122.098745,37.37229
223.0,-122.389555,37.727208
231.0,-122.418958,37.766565
234.0,-122.393772,37.777554
235.0,-122.405456,37.782835
240.0,-122.428208,37.784059
244.0,-117.20117,33.6024
245.0,-122.411249,37.773263
246.0,-122.030511,37.354531
249.0,-122.121148,37.420235
251.0,-122.139989,37.414341
254.0,-122.412948,37.761553
255.0,-121.937667,37.303606
268.0,-118.237116,34.107059
276.0,-122.38268,37.802999
280.0,-122.408151,37.773122
284.0,-122.413112,37.786948
285.0,-122.010972,37.328674
290.0,-122.360919,37.801124
295.0,-122.419428,37.765377
304.0,-121.993105,37.31779
313.0,-122.122215,37.427618
324.0,-122.396638,37.778664
330.0,-122.395802,37.721707
331.0,-122.400044,37.7798
333.0,-122.153142,37.430497
338.0,-122.408928,37.791485
347.0,-122.404061,37.736433
354.0,-122.311481,37.813812
355.0,-122.407198,37.74099
358.0,-116.545444,33.811821
359.0,-122.405626,37.78071
363.0,-122.412541,37.768006
365.0,-122.417307,37.772477
367.0,-122.414683,37.77554
370.0,-122.424193,37.779426
376.0,-122.402768,37.764378
394.0,-122.300421,37.55339
398.0,-118.311022,34.034365
399.0,-122.064411,37.361822
405.0,-122.406036,37.784012
410.0,-122.005898,37.329337
413.0,-122.331429,37.821027
416.0,-122.412809,37.772034
426.0,-122.147547,37.408571
427.0,-122.413057,37.773002
435.0,-122.40413,37.775923
440.0,-122.409925,37.768965
446.0,-122.063729,37.386423
457.0,-122.399051,37.788114
458.0,-118.296923,34.120209
459.0,-122.253138,37.345855
463.0,-122.109787,37.409461
464.0,-122.411028,37.771463
465.0,-122.345842,37.807236
467.0,-122.417623,37.767149
470.0,-122.406791,37.777571
472.0,-122.399544,37.776434
473.0,-122.413454,37.776045
476.0,-122.397986,37.761487
477.0,-122.405829,37.769367
478.0,-122.414156,37.770215
484.0,-122.413307,37.735337
487.0,-121.971669,37.342699
489.0,-122.41388,37.776732
494.0,-122.410968,37.769
497.0,-122.301625,37.831977
501.0,-122.408044,37.728585
504.0,-122.365445,37.649856
506.0,-122.153124,37.437271
510.0,-122.376322,37.699568
518.0,-122.018616,37.332741
523.0,-122.403248,37.749279
531.0,-118.316366,34.082795
538.0,-122.411616,37.835606
550.0,-122.418364,37.790158
575.0,-122.458791,37.840893
577.0,-122.135397,37.807216
586.0,-122.422267,37.772089
593.0,-122.35975,37.755414
594.0,-122.397179,37.724628
598.0,-122.024123,37.296748
599.0,-122.132749,37.422877
600.0,-122.412375,37.762689
602.0,-122.033196,37.348783
609.0,-122.412774,37.794399
611.0,-122.420035,37.786904
622.0,-122.414385,37.756688
624.0,-121.436721,38.573741
634.0,-122.417865,37.810001
651.0,-122.421918,37.797304
652.0,-122.137287,37.678233
653.0,-121.786333,37.274109
658.0,-122.168233,37.668517
666.0,-117.889126,33.646327
668.0,-118.220712,34.112357
671.0,-121.665215,37.936896
673.0,-121.928239,37.337448
678.0,-118.170137,33.951311
686.0,-117.861065,33.901961
689.0,-122.162594,37.445074
694.0,-118.283273,34.073363
696.0,-118.334837,34.028102
