node_id,lat_pos,lon_pos
0.0,-121.904167,41.974556
1.0,-121.902153,41.974766
2.0,-121.89679,41.988075
3.0,-121.889603,41.998032
4.0,-121.886681,42.008739
5.0,-121.915062,41.970314
6.0,-121.910088,41.973942
7.0,-121.916199,41.969482
8.0,-121.903198,41.968456
9.0,-122.553284,41.895241
10.0,-122.542992,41.903084
11.0,-122.546921,41.915726
12.0,-122.520287,41.907001
13.0,-122.503967,41.906689
14.0,-122.472076,41.911068
15.0,-122.463829,41.914925
16.0,-122.454803,41.92387
17.0,-122.440536,41.946377
18.0,-122.440498,41.956013
19.0,-122.444801,41.969555
20.0,-122.442436,41.97747
21.0,-122.43322,41.98436
22.0,-122.42466,41.98502
23.0,-122.412811,41.983322
24.0,-122.402168,41.988213
25.0,-122.390503,41.988567
26.0,-122.38401,41.991646
27.0,-122.376556,41.984219
28.0,-122.372299,41.984661
29.0,-122.352539,42.00124
30.0,-122.345123,42.010807
31.0,-122.340134,42.017231
32.0,-122.604172,42.012905
33.0,-122.606087,42.009228
34.0,-122.595833,41.973843
35.0,-122.592934,41.963806
36.0,-122.560463,41.912502
37.0,-122.552147,41.892521
38.0,-122.554909,41.879074
39.0,-122.568123,41.852474
40.0,-121.170708,42.001575
41.0,-121.155724,41.992962
42.0,-121.134956,41.973145
43.0,-121.11747,41.9603
44.0,-121.093819,41.951584
45.0,-121.092003,41.950382
46.0,-121.074501,41.938805
47.0,-121.061203,41.923958
48.0,-121.054169,41.920101
49.0,-121.035004,41.918304
50.0,-121.025291,41.920048
51.0,-120.997559,41.918797
52.0,-120.991028,41.913082
53.0,-120.976509,41.893463
54.0,-120.9636,41.887257
55.0,-120.961922,41.886448
56.0,-120.956833,41.879074
57.0,-120.954468,41.866791
58.0,-120.941002,41.848732
59.0,-124.013367,41.851032
60.0,-123.996857,41.851871
61.0,-123.965439,41.84885
62.0,-123.938553,41.842316
63.0,-123.926064,41.843346
64.0,-123.91436,41.84869
65.0,-123.903633,41.859707
66.0,-123.882622,41.86702
67.0,-123.861351,41.869293
68.0,-123.85907,41.870441
69.0,-123.854073,41.872967
70.0,-123.842049,41.883606
71.0,-123.828903,41.886963
72.0,-123.768227,41.913971
73.0,-123.765663,41.929516
74.0,-123.746162,41.954208
75.0,-123.745438,41.95512
76.0,-123.744003,41.977943
77.0,-123.727364,41.986324
78.0,-123.717239,41.994991
79.0,-123.714432,42.000217
80.0,-123.7164,42.004215
81.0,-122.58165,41.846039
82.0,-122.587051,41.841614
83.0,-122.809334,41.877716
84.0,-122.804764,41.878746
85.0,-122.78611,41.876537
86.0,-122.764664,41.867592
87.0,-122.746002,41.868587
88.0,-122.728844,41.872257
89.0,-122.718941,41.871635
90.0,-122.711617,41.875465
91.0,-122.705437,41.875103
92.0,-122.687073,41.859562
93.0,-122.671944,41.852329
94.0,-122.660439,41.847984
95.0,-122.641037,41.840649
96.0,-122.634933,41.840969
97.0,-122.624329,41.845882
98.0,-122.611794,41.846535
99.0,-120.758133,41.826836
100.0,-120.761414,41.832542
101.0,-120.749924,41.844856
102.0,-120.745438,41.856468
103.0,-120.74614,41.867668
104.0,-120.749947,41.879444
105.0,-120.74987,41.892735
106.0,-120.747299,41.905422
107.0,-120.757156,41.920654
108.0,-120.772293,41.936382
109.0,-120.774429,41.942982
110.0,-120.782631,41.968315
111.0,-120.799713,41.980766
112.0,-120.80349,41.996441
113.0,-120.806999,41.998379
114.0,-120.811546,41.997528
115.0,-120.818581,41.992008
116.0,-120.826927,41.992626
117.0,-120.831673,41.994747
118.0,-120.842659,41.993435
119.0,-120.879417,41.9818
120.0,-120.883034,41.980022
121.0,-120.892517,41.975365
122.0,-120.897812,41.976318
123.0,-120.914307,41.988773
124.0,-120.922256,41.997417
125.0,-120.922523,41.999634
126.0,-120.923027,41.841377
127.0,-120.911797,41.847977
128.0,-120.901993,41.848106
129.0,-120.889107,41.843536
130.0,-120.876534,41.843536
131.0,-120.865677,41.846451
132.0,-120.853409,41.846436
133.0,-120.840652,41.848499
134.0,-120.8256,41.848125
135.0,-120.803833,41.843636
136.0,-120.797142,41.839748
137.0,-120.78331,41.838078
138.0,-120.775192,41.837093
139.0,-120.771088,41.835178
140.0,-120.768753,41.827244
141.0,-122.823174,41.906887
142.0,-122.831688,41.918583
143.0,-122.833298,41.932034
144.0,-122.822281,41.94846
145.0,-122.8283,41.953411
146.0,-122.852386,41.957382
147.0,-122.867378,41.962761
148.0,-122.878662,41.971096
149.0,-122.878403,41.977764
150.0,-122.87355,41.984913
151.0,-122.874817,41.988514
152.0,-122.890266,41.985836
153.0,-122.902153,41.987709
154.0,-122.910606,41.982887
