user_id,keyword_id
2,65
2,11
4,20
4,6
4,32
4,8
8,45
8,6
8,60
8,20
8,69
14,61
14,46
14,3
14,34
14,65
14,30
14,65
14,22
14,34
14,49
14,26
14,1
14,63
14,12
14,29
18,21
18,22
18,21
18,20
21,8
21,52
21,60
21,38
21,51
21,65
21,14
21,0
21,70
21,36
21,8
24,16
24,18
24,48
24,68
24,74
24,9
24,46
24,6
24,62
24,34
24,3
24,5
24,55
24,62
25,33
25,35
25,33
25,11
25,59
25,15
26,28
26,24
26,70
26,68
26,44
26,7
26,12
26,73
26,74
26,66
34,4
34,28
34,15
34,21
34,65
34,75
34,28
34,44
34,20
34,70
34,54
39,18
43,45
43,42
43,51
43,26
43,28
43,64
43,17
43,53
43,43
43,18
43,10
43,8
53,20
53,46
53,5
53,47
53,17
53,38
62,14
62,0
62,12
62,22
62,1
62,62
62,0
62,9
62,41
62,47
62,68
62,26
62,68
62,69
62,31
63,12
63,26
63,33
63,20
63,56
63,26
63,53
63,47
70,37
70,7
70,30
70,22
70,24
70,72
70,72
70,72
70,9
70,40
73,57
78,47
78,59
78,53
78,50
78,26
78,18
78,64
78,16
78,70
78,47
78,2
78,70
78,4
78,5
81,63
81,70
81,63
81,8
81,73
81,15
81,38
81,59
81,27
81,27
82,36
82,53
82,41
84,0
84,31
84,4
84,19
84,31
84,1
84,45
84,41
84,9
85,55
85,1
85,59
85,1
85,58
85,15
86,9
86,20
86,41
86,1
86,16
86,70
87,57
87,4
87,71
87,74
87,6
87,27
92,21
92,42
92,9
92,67
92,38
92,15
92,41
92,24
92,64
93,69
93,0
96,21
96,45
96,40
99,40
99,52
99,3
99,54
99,0
99,69
99,27
101,18
101,57
101,68
101,16
101,6
101,51
101,47
101,53
101,41
101,23
104,51
104,32
104,71
104,2
104,36
104,29
104,69
104,41
104,43
104,57
104,31
104,55
104,21
104,51
106,23
106,48
106,74
106,2
106,68
106,4
106,49
106,17
106,32
108,46
108,30
108,55
108,36
108,17
108,22
108,56
108,66
123,74
123,20
123,13
123,18
123,42
123,11
123,15
124,32
124,30
124,5
124,53
124,71
124,8
124,48
124,73
126,68
126,22
126,10
126,70
126,26
126,52
126,39
126,39
128,75
128,36
128,68
128,20
128,7
128,61
128,71
128,36
128,30
128,10
128,4
128,69
128,21
128,63
128,66
129,42
129,54
129,39
129,9
129,32
129,15
130,28
130,74
130,72
130,7
130,53
130,37
130,65
130,60
130,30
130,67
130,1
130,9
130,17
130,7
130,22
133,54
133,4
133,23
133,32
133,16
133,14
133,12
133,43
133,18
135,22
135,30
135,18
135,54
135,6
135,26
135,15
135,6
