2.0,65
2.0,11
4.0,20
4.0,6
4.0,32
4.0,8
8.0,45
8.0,6
8.0,60
8.0,20
8.0,69
14.0,61
14.0,46
14.0,3
14.0,34
14.0,65
14.0,30
14.0,65
14.0,22
14.0,34
14.0,49
14.0,26
14.0,1
14.0,63
14.0,12
14.0,29
18.0,21
18.0,22
18.0,21
18.0,20
21.0,8
21.0,52
21.0,60
21.0,38
21.0,51
21.0,65
21.0,14
21.0,0
21.0,70
21.0,36
21.0,8
24.0,16
24.0,18
24.0,48
24.0,68
24.0,74
24.0,9
24.0,46
24.0,6
24.0,62
24.0,34
24.0,3
24.0,5
24.0,55
24.0,62
25.0,33
25.0,35
25.0,33
25.0,11
25.0,59
25.0,15
26.0,28
26.0,24
26.0,70
26.0,68
26.0,44
26.0,7
26.0,12
26.0,73
26.0,74
26.0,66
34.0,4
34.0,28
34.0,15
34.0,21
34.0,65
34.0,75
34.0,28
34.0,44
34.0,20
34.0,70
34.0,54
39.0,18
43.0,45
43.0,42
43.0,51
43.0,26
43.0,28
43.0,64
43.0,17
43.0,53
43.0,43
43.0,18
43.0,10
43.0,8
53.0,20
53.0,46
53.0,5
53.0,47
53.0,17
53.0,38
62.0,14
62.0,0
62.0,12
62.0,22
62.0,1
62.0,62
62.0,0
62.0,9
62.0,41
62.0,47
62.0,68
62.0,26
62.0,68
62.0,69
62.0,31
63.0,12
63.0,26
63.0,33
63.0,20
63.0,56
63.0,26
63.0,53
63.0,47
70.0,37
70.0,7
70.0,30
70.0,22
70.0,24
70.0,72
70.0,72
70.0,72
70.0,9
70.0,40
73.0,57
78.0,47
78.0,59
78.0,53
78.0,50
78.0,26
78.0,18
78.0,64
78.0,16
78.0,70
78.0,47
78.0,2
78.0,70
78.0,4
78.0,5
81.0,63
81.0,70
81.0,63
81.0,8
81.0,73
81.0,15
81.0,38
81.0,59
81.0,27
81.0,27
82.0,36
82.0,53
82.0,41
84.0,0
84.0,31
84.0,4
84.0,19
84.0,31
84.0,1
84.0,45
84.0,41
84.0,9
85.0,55
85.0,1
85.0,59
85.0,1
85.0,58
85.0,15
86.0,9
86.0,20
86.0,41
86.0,1
86.0,16
86.0,70
87.0,57
87.0,4
87.0,71
87.0,74
87.0,6
87.0,27
92.0,21
92.0,42
92.0,9
92.0,67
92.0,38
92.0,15
92.0,41
92.0,24
92.0,64
93.0,69
93.0,0
96.0,21
96.0,45
96.0,40
99.0,40
99.0,52
99.0,3
99.0,54
99.0,0
99.0,69
99.0,27
101.0,18
101.0,57
101.0,68
101.0,16
101.0,6
101.0,51
101.0,47
101.0,53
101.0,41
101.0,23
104.0,51
104.0,32
104.0,71
