user_id,rel_user_id,weight
8.0,4227.0,0.01
8.0,53.0,0.114035087719
8.0,268.0,0.028
8.0,457.0,0.169741697417
8.0,470.0,0.01
8.0,99.0,0.0357894736842
8.0,4223.0,0.12676056338
8.0,53.0,0.114035087719
8.0,99.0,0.0357894736842
8.0,268.0,0.028
8.0,457.0,0.169741697417
8.0,470.0,0.01
8.0,4223.0,0.12676056338
8.0,4227.0,0.01
4227.0,8.0,0.04
4227.0,96.0,0.08
4227.0,276.0,0.20253164557
4227.0,355.0,0.0290909090909
4227.0,4223.0,0.0281690140845
4227.0,4224.0,0.030303030303
4227.0,8.0,0.04
4227.0,5287.0,0.0201342281879
4227.0,5558.0,0.146341463415
4227.0,32993.0,0.06
4227.0,96.0,0.04
4227.0,355.0,0.08
4227.0,5799.0,0.0290909090909
4227.0,276.0,0.231707317073
4227.0,4224.0,0.20253164557
4227.0,4223.0,0.030303030303
4227.0,5287.0,0.0281690140845
4227.0,5558.0,0.0201342281879
4227.0,5799.0,0.146341463415
4227.0,32993.0,0.231707317073
53.0,8.0,0.52
53.0,8.0,0.52
53.0,84.0,0.186666666667
53.0,99.0,0.0494736842105
53.0,201.0,0.08
53.0,742.0,0.01
53.0,1280.0,0.02
53.0,268.0,0.0622857142857
53.0,376.0,0.0856164383562
53.0,457.0,0.206642066421
53.0,6108.0,0.125
53.0,84.0,0.186666666667
53.0,99.0,0.0494736842105
53.0,201.0,0.08
53.0,268.0,0.0622857142857
53.0,376.0,0.0856164383562
53.0,457.0,0.206642066421
53.0,742.0,0.01
53.0,1280.0,0.02
53.0,6108.0,0.125
268.0,8.0,0.653333333333
268.0,53.0,0.318713450292
268.0,63.0,0.167883211679
268.0,82.0,0.116071428571
268.0,99.0,0.114736842105
268.0,254.0,0.229166666667
268.0,8.0,0.653333333333
268.0,53.0,0.318713450292
268.0,63.0,0.167883211679
268.0,22609.0,0.0266666666667
268.0,82.0,0.116071428571
268.0,99.0,0.114736842105
268.0,5247.0,0.01
268.0,22640.0,0.06
268.0,2237.0,0.04
268.0,4612.0,0.0127226463104
268.0,254.0,0.229166666667
268.0,284.0,0.118881118881
268.0,5563.0,0.0307692307692
268.0,11079.0,0.01
268.0,22591.0,0.0384615384615
268.0,376.0,0.217465753425
268.0,594.0,0.111111111111
268.0,6057.0,0.0634482758621
268.0,427.0,0.0125
268.0,5048.0,0.01
268.0,457.0,0.16
268.0,5074.0,0.442804428044
268.0,476.0,0.0909090909091
268.0,477.0,0.01
268.0,478.0,0.102866779089
268.0,487.0,0.0497512437811
268.0,5101.0,0.0722807017544
268.0,8693.0,0.0731707317073
268.0,5110.0,0.130909090909
268.0,284.0,0.1
268.0,376.0,0.118881118881
268.0,427.0,0.217465753425
268.0,457.0,0.01
268.0,476.0,0.442804428044
268.0,477.0,0.01
268.0,478.0,0.102866779089
268.0,487.0,0.0497512437811
268.0,594.0,0.0722807017544
268.0,2237.0,0.111111111111
268.0,4612.0,0.04
268.0,5048.0,0.0127226463104
268.0,5074.0,0.0634482758621
268.0,5101.0,0.16
268.0,5110.0,0.0909090909091
268.0,5247.0,0.0731707317073
268.0,5563.0,0.1
268.0,6057.0,0.01
268.0,8693.0,0.0307692307692
268.0,11079.0,0.0125
268.0,22591.0,0.130909090909
268.0,22609.0,0.01
268.0,22640.0,0.0384615384615
457.0,8.0,0.613333333333
457.0,53.0,0.163742690058
457.0,268.0,0.0685714285714
457.0,376.0,0.126712328767
457.0,8.0,0.613333333333
457.0,268.0,0.0685714285714
457.0,5232.0,0.0869565217391
457.0,53.0,0.163742690058
457.0,376.0,0.126712328767
457.0,5232.0,0.0869565217391
470.0,8.0,0.0133333333333
470.0,217.0,0.151351351351
470.0,8.0,0.0133333333333
470.0,1558.0,0.0363636363636
470.0,944.0,0.133333333333
470.0,31323.0,0.42
470.0,27693.0,0.04
470.0,23111.0,0.34
470.0,31327.0,0.0266666666667
470.0,6767.0,0.088
470.0,31406.0,0.267605633803
470.0,31412.0,0.48
470.0,2746.0,0.08
470.0,23159.0,0.08
470.0,217.0,0.284444444444
470.0,31400.0,0.4
470.0,2936.0,0.0166666666667
